,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
350,5,30,2,0,0,0,1,0,0,0,3,5,1,7
351,4,38,2,1,0,0,0,0,0,0,1,6,1,24
352,4,33,5,0,0,0,1,0,0,0,5,5,1,9
353,6,29,1,0,0,0,0,1,0,0,5,5,2,4
354,6,31,1,0,0,1,0,0,0,0,1,6,2,27
355,5,34,2,0,0,0,0,0,1,0,4,4,1,27
356,5,38,4,0,0,0,0,0,1,0,5,6,2,27
357,6,31,3,0,0,0,0,0,1,0,5,4,2,27
358,4,33,1,0,1,0,0,0,0,0,1,5,2,13
359,5,32,2,0,0,0,0,1,0,0,5,6,1,7
360,6,36,1,0,0,0,1,0,0,0,4,5,2,13
361,6,32,1,0,1,0,0,0,0,0,2,5,1,24
362,4,41,4,0,0,0,0,1,0,0,2,6,1,23
363,6,35,1,0,0,0,0,1,0,0,2,6,1,27
364,6,29,1,0,1,0,0,0,0,0,1,6,3,8
365,4,34,2,0,1,0,0,0,0,0,2,5,1,27
366,6,30,1,0,0,0,0,1,0,0,2,5,3,13
367,5,37,1,0,0,0,1,0,0,0,2,4,2,25
368,3,40,4,0,0,0,0,1,0,0,4,5,1,27
369,3,28,1,1,0,0,0,0,0,0,1,6,2,24
370,5,36,1,0,1,0,0,0,0,0,2,6,1,2
371,6,36,1,0,1,0,0,0,0,0,2,6,3,2
372,4,31,2,0,0,0,0,1,1,0,3,5,1,8
373,3,30,1,0,0,0,0,1,0,0,4,6,2,8
374,6,27,3,0,1,0,0,0,0,0,4,6,2,17
375,4,32,2,0,1,0,0,0,0,0,1,5,1,7
376,6,25,1,1,0,0,0,0,0,0,1,5,1,24
377,2,39,1,0,1,0,0,0,0,0,2,6,1,23
378,5,28,1,0,0,0,0,0,0,1,1,5,1,27
379,4,36,1,0,1,0,0,0,0,0,1,6,2,27
380,0,36,3,1,0,0,0,0,0,0,1,6,1,24
381,5,31,2,0,0,0,0,1,0,0,2,3,1,12
382,6,26,2,1,0,0,0,0,0,0,5,6,1,24
383,3,33,1,0,0,0,0,0,1,0,3,6,1,8
384,4,31,2,0,0,0,0,1,0,0,5,5,2,1
385,6,34,1,0,0,0,0,0,1,0,2,4,1,7
386,5,30,1,0,0,0,1,0,0,0,3,5,1,7
387,6,29,4,0,0,0,0,0,1,0,3,4,1,27
